directors,popularity,stars,title,writers
Jean-Pierre Jeunet,"
                    854
      (","
        ,
,, ,, ,            ,
, »
    ","Amélie ,            ","
        ,
, (scenario), , (scenario)            ,
, »
    "
Nadine Labaki,"
                    732
      (","
        ,
,, ,, ,            ,
, »
    ","Capernaum ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
David Lean,"
                    643
      (","
        ,
,, ,, ,            ,
, »
    ","Lawrence of Arabia ,            ","
        ,
, (writings), , (screenplay)            ,
, »
    "
Brian De Palma,"
                    297
      (","
        ,
,, ,, ,            ,
, »
    ","Scarface ,            ","
        ,
, (screenplay by)    "
Martin Scorsese,"
                    277
      (","
        ,
,, ,, ,            ,
, »
    ","Taxi Driver ,            ","
        ,
,    "
Vittorio De Sica,,"
        ,
,, ,, ,            ,
, »
    ","Bicycle Thieves ,            ","
        ,
, (story), , (novel)            ,
, »
    "
"Stanley Donen,Gene Kelly","
                    2,163
      (","
        ,
,, ,, ,            ,
, »
    ","Singin' in the Rain ,            ","
        ,
, (story by), , (story by)    "
,,,"The Kid ,            ",
Fritz Lang,"
                    1,643
      (","
        ,
,, ,, ,            ,
, »
    ","Metropolis ,            ","
        ,
, (screenplay), , (novel)    "
Guy Ritchie,"
                    248
      (","
        ,
,, ,, ,            ,
, »
    ","Snatch ,            ","
        ,
,    "
Stanley Kubrick,"
                    396
      (","
        ,
,, ,, ,            ,
, »
    ","A Clockwork Orange ,            ","
        ,
, (screenplay), , (novel)    "
Stanley Kubrick,"
                    601
      (","
        ,
,, ,, ,            ,
, »
    ","Full Metal Jacket ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Orson Welles,"
                    1,348
      (","
        ,
,, ,, ,            ,
, »
    ","Citizen Kane ,            ","
        ,
, (original screen play), , (original screen play)    "
Alfred Hitchcock,"
                    2,036
      (","
        ,
,, ,, ,            ,
, »
    ","North by Northwest ,            ","
        ,
,    "
Thomas Vinterberg,"
                    912
      (","
        ,
,, ,, ,            ,
, »
    ","The Hunt ,            ","
        ,
, (screenplay), , (screenplay)    "
Michel Gondry,"
                    227
      (","
        ,
,, ,, ,            ,
, »
    ","Eternal Sunshine of the Spotless Mind ,            ","
        ,
, (story), , (story)            ,
, »
    "
,,,"M ,            ",
Alfred Hitchcock,"
                    1,266
      (","
        ,
,, ,, ,            ,
, »
    ","Vertigo ,            ","
        ,
, (screenplay by), , (screenplay by) (as Samuel Taylor)            ,
, »
    "
Nitesh Tiwari,,"
        ,
,, ,, ,            ,
, »
    ","Dangal ,            ","
        ,
,, ,            ,
, »
    "
Darren Aronofsky,"
                    331
      (","
        ,
,, ,, ,            ,
, »
    ","Requiem for a Dream ,            ","
        ,
, (based on the book by), , (screenplay)            ,
, »
    "
Gus Van Sant,"
                    373
      (","
        ,
,, ,, ,            ,
, »
    ","Good Will Hunting ,            ","
        ,
,, ,    "
Stanley Kubrick,"
                    531
      (","
        ,
,, ,, ,            ,
, »
    ","2001: A Space Odyssey ,            ","
        ,
, (screenplay), , (screenplay)    "
Quentin Tarantino,"
                    110
      (","
        ,
,, ,, ,            ,
, »
    ","Inglourious Basterds ,            ","
        ,
,    "
Quentin Tarantino,"
                    495
      (","
        ,
,, ,, ,            ,
, »
    ","Reservoir Dogs ,            ","
        ,
,, , (background radio dialogue written by)            ,
, »
    "
,,,"High and Low ,            ",
Milos Forman,"
                    1,016
      (","
        ,
,, ,, ,            ,
, »
    ","Amadeus ,            ","
        ,
, (original stage play), , (original screenplay)    "
"Aamir Khan,Amole Gupte",,"
        ,
,, ,, ,            ,
, »
    ","Like Stars on Earth ,            ","
        ,
, (dialogue & screenplay), , (story)    "
Richard Marquand,"
                    739
      (","
        ,
,, ,, ,            ,
, »
    ","Star Wars: Episode VI - Return of the Jedi ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
John Lasseter,"
                    407
      (","
        ,
,, ,, ,            ,
, »
    ","Toy Story ,            ","
        ,
, (original story by), , (original story by)            ,
, »
    "
Wolfgang Petersen,"
                    2,143
      (","
        ,
,, ,, ,            ,
, »
    ","Das Boot ,            ","
        ,
, (screenplay), , (novel)    "
Rajkumar Hirani,"
                    1,367
      (","
        ,
,, ,, ,            ,
, »
    ","3 Idiots ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
